OBJECTID,STATION,STOP,Shape
"1,First Hill,14th & Washington Central District,""(47.60063250200005, -122.31414704399998)"""
"2,First Hill,Broadway & Pike Inbound,""(47.61429250400005, -122.32088658799995)"""
"3,South Lake Union,Westlake & 7th,""(47.614992347000054, -122.33785454499997)"""
"4,First Hill,Broadway & Howell Terminus,""(47.618047698000055, -122.32097551499999)"""
"5,First Hill,Broadway & Marion Inbound,""(47.60985795900007, -122.32086729999997)"""
"6,South Lake Union,Westlake Hub,""(47.61307176400004, -122.33733174099996)"""
"7,South Lake Union,Terry & Thomas,""(47.62137945000006, -122.33720176499997)"""
"8,First Hill,5th & Jackson,""(47.59919368700008, -122.32692060999995)"""
"9,South Lake Union,Westlake & Denny,""(47.61808982300005, -122.33833880699996)"""
"10,First Hill,Broadway & Yesler Inbound,""(47.60164800500007, -122.31997282799995)"""
"11,South Lake Union,Terry & Mercer,""(47.62434608800004, -122.33716486899999)"""
"12,South Lake Union,Westlake & 9th,""(47.61790545800005, -122.33845767399998)"""
"13,South Lake Union,Westlake & Mercer,""(47.62432188300005, -122.33851342999998)"""
"14,South Lake Union,Lake Union Park,""(47.62589638700007, -122.33642180799995)"""
"15,First Hill,Broadway & Marion Outbound,""(47.609892864000074, -122.32070990899996)"""
"16,South Lake Union,Westlake & Thomas,""(47.62145432800003, -122.33853424699998)"""
"17,South Lake Union,Westlake & 7th,""(47.61553804500005, -122.33781135799995)"""
"18,First Hill,13th & Jackson Little Saigon,""(47.599199086000056, -122.31574596699994)"""
"19,First Hill,Broadway & Terrace Inbound,""(47.60494460000007, -122.32085351899997)"""
"20,First Hill,Broadway & Pine Outbound,""(47.61505688600005, -122.32074666499994)"""
"21,First Hill,7th & Jackson,""(47.59919775700007, -122.32320013099996)"""
"22,First Hill,Broadway & Yesler Outbound,""(47.60173266500004, -122.32018290399998)"""
"23,South Lake Union,Fairview & Campus Drive,""(47.62763254500004, -122.33229139399998)"""
"24,First Hill,Charles Street - Maintenance Facility,""(47.595614728000044, -122.32251588699995)"""
"25,First Hill,Broadway & Terrace Outbound,""(47.605462533000036, -122.32069830399996)"""
"26,First Hill,Occidental Mall Pioneer Square,""(47.59919151200006, -122.33318594599996)"""
